# METADATA:
# 000AA: Castels
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000AA;2022-11-20 03:00:00;0.9;1017.5;98;0.7;0;;280;0;0
000AA;2022-11-20 03:30:00;1.2;1017.5;98;0.9;0;;280;;
000AA;2022-11-20 04:00:00;1.7;1017.2;98;1.4;0;;280;0;0
000AA;2022-11-20 04:30:00;2.3;1017.1;99;2.1;1.6;;269;;
000AA;2022-11-20 05:00:00;2.2;1016.9;98;1.9;0;;269;0;0
000AA;2022-11-20 05:30:00;2;1016.9;99;1.9;0;;269;;
000AA;2022-11-20 06:00:00;1.9;1017.1;98;1.7;0;;269;0;0
000AA;2022-11-20 06:30:00;2;1016.9;98;1.7;0;;269;;
000AA;2022-11-20 07:00:00;2.1;1017;99;2;0;;269;0;0.2
000AA;2022-11-20 07:30:00;2.4;1017.1;99;2.2;0;;268;;
000AA;2022-11-20 08:00:00;2.7;1017.3;99;2.6;1.6;;268;0;0
000AA;2022-11-20 08:30:00;3.1;1017.6;99;2.9;1.6;;266;;
000AA;2022-11-20 09:00:00;3.7;1018;99;3.6;1.6;;158;0.2;0
000AA;2022-11-20 09:30:00;4.4;1017.4;99;4.2;1.6;;67;;
000AA;2022-11-20 10:00:00;4.7;1017.6;99;4.6;1.6;;165;0;0
000AA;2022-11-20 10:30:00;5.4;1017.3;99;5.2;1.6;;167;;
000AA;2022-11-20 11:00:00;6.3;1017;99;6.2;1.6;;87;0;0
000AA;2022-11-20 11:30:00;7.7;1016.4;99;7.6;3.2;;70;;
000AA;2022-11-20 12:00:00;8.1;1015.9;98;7.8;3.2;;105;0;0
000AA;2022-11-20 12:30:00;8.4;1015.8;97;7.9;1.6;;84;;
000AA;2022-11-20 13:00:00;8.6;1016;98;8.3;1.6;;194;0;1.8
000AA;2022-11-20 13:30:00;8.8;1015.9;98;8.5;1.6;;178;;
000AA;2022-11-20 14:00:00;9.1;1015.8;98;8.8;0;;174;0;0
000AA;2022-11-20 14:30:00;9.3;1015.8;98;9;1.6;;174;;
000AA;2022-11-20 15:00:00;9.4;1016.1;98;9.1;0;;174;1.8;0
000AA;2022-11-20 15:30:00;9.8;1016.5;98;9.5;1.6;;199;;
000AA;2022-11-20 16:00:00;9.8;1016.7;97;9.4;1.6;;202;0;0
000AA;2022-11-20 16:30:00;9.7;1016.9;97;9.3;0;;202;;
000AA;2022-11-20 17:00:00;9.3;1017.3;97;8.8;1.6;;201;0;0
000AA;2022-11-20 17:30:00;9.3;1017.5;98;9;0;;202;;
000AA;2022-11-20 18:00:00;9.5;1018;98;9.2;0;;202;0;0
000AA;2022-11-20 18:30:00;9.4;1018.1;99;9.2;0;;202;;
000AA;2022-11-20 19:00:00;9.7;1018.3;99;9.6;0;;304;0;0
000AA;2022-11-20 19:30:00;9.2;1018.5;98;8.9;0;;304;;
000AA;2022-11-20 20:00:00;9.1;1018.4;98;8.8;0;;229;0;0
000AA;2022-11-20 20:30:00;9.2;1018.5;99;9;0;;229;;
000AA;2022-11-20 21:00:00;9;1018.5;99;8.9;0;;190;0;0
000AA;2022-11-20 21:30:00;9;1018.4;99;8.9;0;;190;;
000AA;2022-11-20 22:00:00;8.7;1018.5;99;8.6;0;;153;0;0
000AA;2022-11-20 22:30:00;8.7;1017.9;99;8.6;1.6;;148;;
000AA;2022-11-20 23:00:00;8.6;1017.4;99;8.5;1.6;;105;0;0
000AA;2022-11-20 23:30:00;8.7;1017.2;99;8.5;1.6;;82;;
000AA;2022-11-21 00:00:00;8.8;1016.7;99;8.6;1.6;;83;0;0
000AA;2022-11-21 00:30:00;8.8;1016.1;99;8.6;0;;83;;
000AA;2022-11-21 01:00:00;8.4;1015.2;99;8.2;0;;84;0;0
000AA;2022-11-21 01:30:00;8.3;1015;99;8.2;0;;166;;
000AA;2022-11-21 02:00:00;8.2;1014.2;99;8.1;1.6;;147;0;0.2
000AA;2022-11-21 02:30:00;8.1;1013.2;99;8;1.6;;291;;
000AA;2022-11-21 03:00:00;8.3;1012.4;99;8.1;1.6;;229;0.2;0
000AA;2022-11-21 03:30:00;8.5;1011.8;99;8.4;1.6;;220;;
